name,scn_name,bus0,bus1,carrier,p_nom,p_nom_max,capital_cost,length,efficiency,p_nom_min,p_min_pu,p_max_pu,marginal_cost,p_nom_opt,country,lifetime,committable,p_nom_mod,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_up,ramp_limit_start_up,ramp_limit_shut_down
871,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
872,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.8400000000000001,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
873,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
874,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
875,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
876,eGon2035,52023,66048,rural_heat_store_charger,0.44025340925596357,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.44025340925596357,DE,inf,False,,,0.0,,,1.0,1.0
877,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
878,eGon2035,52023,66048,rural_heat_store_charger,0.0,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.0,DE,inf,False,,,0.0,,,1.0,1.0
879,eGon2035,52023,66048,rural_heat_store_charger,0.09775984489479499,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.09775984489479499,DE,inf,False,,,0.0,,,1.0,1.0
880,eGon2035,52023,66048,rural_heat_store_charger,0.467148043234333,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.467148043234333,DE,inf,False,,,0.0,,,1.0,1.0
881,eGon2035,52023,66048,rural_heat_store_charger,0.09182776508940414,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.09182776508940414,DE,inf,False,,,0.0,,,1.0,1.0
882,eGon2035,52023,66048,rural_heat_store_charger,0.7955187922053967,inf,0.0,0.0,0.84,0.0,0.0,1.0,0.0,0.7955187922053967,DE,inf,False,,,0.0,,,1.0,1.0
