name,scn_name,bus,carrier,p_nom,p_min_pu,p_max_pu,marginal_cost,efficiency,committable,start_up_cost,min_up_time,min_down_time,up_time_before,ramp_limit_start_up,ramp_limit_shut_down,e_nom_max,control,ramp_limit_up,weight,p_nom_opt
13 load shedding,,4,load shedding,6392520.0,0.0,1.0,10000.006769080712,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,6392520.0,6392520.0
13 run_of_river,eGon2035,4,run_of_river,111.19272584596713,0.0,0.65,0.010872706142657326,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,111.19272584596713,111.19272584596713
13 solar,eGon2035,4,solar,300.1982135595658,0.0,0.9999999999999999,0.02110540591863369,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,300.1982135595658,300.1982135595658
13 solar_rooftop,eGon2035,4,solar_rooftop,527.927744229532,0.0,1.0,0.015787499167905932,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,527.927744229532,527.927744229532
13 wind_onshore,eGon2035,4,wind_onshore,759.7423704716867,0.0,1.0,1.3087082330759678,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,759.7423704716867,759.7423704716867
14 biomass,eGon2035,4,biomass,0.5386258503092629,0.0,0.9999999999999999,42.119412787781826,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,0.5386258503092629,0.5386258503092629
14 central_biomass_CHP,eGon2035,4,central_biomass_CHP,4.2646687869979205,0.0,1.0,42.10791155116799,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,4.2646687869979205,4.2646687869979205
14 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,14.26280775129102,0.0,1.0,42.10983938797183,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,14.26280775129102,14.26280775129102
14 load shedding,,4,load shedding,10654200.0,0.0,1.0,10000.00960462835,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,10654200.0,10654200.0
14 solar,eGon2035,4,solar,77.41086346076293,0.0,0.9999999999999999,0.01672600079698325,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,77.41086346076293,77.41086346076293
14 solar_rooftop,eGon2035,4,solar_rooftop,663.0433875245994,0.0,0.9999999999999999,0.018301955154036292,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,663.0433875245994,663.0433875245994
14 wind_onshore,eGon2035,4,wind_onshore,477.68771695191566,0.0,0.9999999999999999,1.3069028077787292,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,477.68771695191566,477.68771695191566
15 biomass,eGon2035,4,biomass,2.786443725447553,0.0,0.9999999999999999,42.11061252766862,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,2.786443725447553,2.786443725447553
15 central_biomass_CHP,eGon2035,4,central_biomass_CHP,0.9801068327286503,0.0,1.0,42.108538947296225,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,0.9801068327286503,0.9801068327286503
15 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,48.094822388827595,0.0,0.9999999999999999,42.10934507428902,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,48.094822388827595,48.094822388827595
15 load shedding,,4,load shedding,5859810.0,0.0,1.0,10000.007095487397,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,5859810.0,5859810.0
15 solar,eGon2035,4,solar,121.14817138934251,0.0,1.0,0.016688284938691712,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,121.14817138934251,121.14817138934251
15 solar_rooftop,eGon2035,4,solar_rooftop,409.7869463506076,0.0,1.0,0.017326040531183123,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,409.7869463506076,409.7869463506076
15 wind_offshore,eGon2035,4,wind_offshore,2875.0,0.0,1.0,2.5709126728007154,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,2875.0,2875.0
15 wind_onshore,eGon2035,4,wind_onshore,1127.2829854645393,0.0,0.9999999999999999,1.3092398498096582,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,1127.2829854645393,1127.2829854645393
16 biomass,eGon2035,4,biomass,16.401151273158984,0.0,1.0,42.10742256852881,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,16.401151273158984,16.401151273158984
16 central_biomass_CHP,eGon2035,4,central_biomass_CHP,12.088476392028099,0.0,1.0,42.10963585178922,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,12.088476392028099,12.088476392028099
16 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,81.67368816407652,0.0,1.0,42.10936252466021,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,81.67368816407652,81.67368816407652
16 load shedding,,4,load shedding,4172895.0,0.0,1.0,10000.008951021528,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,4172895.0,4172895.0
16 solar,eGon2035,4,solar,359.5337331681559,0.0,1.0,0.018981100632368082,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,359.5337331681559,359.5337331681559
16 solar_rooftop,eGon2035,4,solar_rooftop,390.7858605937207,0.0,1.0,0.018163831092019397,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,390.7858605937207,390.7858605937207
16 wind_onshore,eGon2035,4,wind_onshore,2225.297028023345,0.0,0.9999999999999999,1.310264805605411,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,2225.297028023345,2225.297028023345
17 biomass,eGon2035,4,biomass,8.189201004041259,0.0,0.9999999999999999,42.10872378687517,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,8.189201004041259,8.189201004041259
17 central_biomass_CHP,eGon2035,4,central_biomass_CHP,8.337546141316745,0.0,1.0,42.10797598238791,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,8.337546141316745,8.337546141316745
17 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,61.818806832374115,0.0,1.0000000000000002,42.10568534888534,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,61.818806832374115,61.818806832374115
17 load shedding,,4,load shedding,4172895.0,0.0,1.0,10000.008498556164,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,4172895.0,4172895.0
17 others,eGon2035,4,others,0.06405165125156925,0.0,1.0,0.017809570940566614,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,0.06405165125156925,0.06405165125156925
17 reservoir,eGon2035,4,reservoir,1.28984897885534,0.0,0.6500000000000001,0.013580150222241752,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,1.28984897885534,1.28984897885534
17 run_of_river,eGon2035,4,run_of_river,515.7612327239176,0.0,0.6499999999999998,0.00807797169636088,0.9999999999999998,False,0.0,0,0,0,1.0,1.0,inf,PV,,515.7612327239176,515.7612327239176
17 solar,eGon2035,4,solar,140.5727982118674,0.0,1.0,0.015863286528102715,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,140.5727982118674,140.5727982118674
17 solar_rooftop,eGon2035,4,solar_rooftop,628.1608995936114,0.0,1.0000000000000002,0.016772409426986244,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,628.1608995936114,628.1608995936114
17 wind_onshore,eGon2035,4,wind_onshore,23.634340024403738,0.0,1.0,1.3053470241903657,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,23.634340024403738,23.634340024403738
18 biomass,eGon2035,4,biomass,10.53447900629396,0.0,0.9999999999999999,42.10613995041103,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,10.53447900629396,10.53447900629396
18 central_biomass_CHP,eGon2035,4,central_biomass_CHP,11.024732684864361,0.0,1.0000000000000002,42.11117960832038,1.0000000000000002,False,0.0,0,0,0,1.0,1.0,inf,PV,,11.024732684864361,11.024732684864361
18 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,114.9361778769175,0.0,1.0,42.108252815060276,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,114.9361778769175,114.9361778769175
18 load shedding,,4,load shedding,18911205.0,0.0,1.0,10000.008414996744,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,18911205.0,18911205.0
18 oil,eGon2035,4,oil,120.0,0.0,1.0,101.85598764583955,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,120.0,120.0
18 run_of_river,eGon2035,4,run_of_river,0.07933019010466798,0.0,0.65,0.005993558099394696,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,0.07933019010466798,0.07933019010466798
18 solar,eGon2035,4,solar,427.2043095756379,0.0,1.0,0.017478018904964147,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,427.2043095756379,427.2043095756379
18 solar_rooftop,eGon2035,4,solar_rooftop,1341.2535642921214,0.0,0.9999999999999999,0.017948301891528413,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,1341.2535642921214,1341.2535642921214
18 wind_onshore,eGon2035,4,wind_onshore,2404.776442117812,0.0,0.9999999999999999,1.3080321139489657,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,2404.776442117812,2404.776442117812
19 biomass,eGon2035,4,biomass,6.164751302816387,0.0,0.9999999999999999,42.10679343348204,0.9999999999999999,False,0.0,0,0,0,1.0,1.0,inf,PV,,6.164751302816387,6.164751302816387
19 central_biomass_CHP,eGon2035,4,central_biomass_CHP,5.060049963378479,0.0,1.0,42.110516328636365,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,5.060049963378479,5.060049963378479
19 industrial_biomass_CHP,eGon2035,4,industrial_biomass_CHP,31.519373138759242,0.0,1.0,42.109724813734445,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,31.519373138759242,31.519373138759242
19 load shedding,,4,load shedding,3728970.0,0.0,1.0,10000.007023862592,1.0,False,0.0,0,0,1,1.0,1.0,0.0,PQ,,3728970.0,3728970.0
19 others,eGon2035,4,others,19.682954167539137,0.0,1.0,0.004661758966712219,1.0,False,0.0,0,0,0,1.0,1.0,inf,PV,,19.682954167539137,19.682954167539137
